Medical Text_eng,Medicine\ Chemical Name_eng,Organ_eng,Disease_eng,Hormones_eng,Pharmacological Class_eng,Common Medical Terms_eng
Prolonged use of furosemide with other diuretics may cause electrolyte and water imbalance.,Furosemide,,,,,
"If you miss a dose of furosemide, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Furosemide,,,,,
"Use of furosemide by breastfeeding mothers may result in cessation of lactation or furosemide may be excreted in breast milk. In such cases, it should be used with caution.",Furosemide,,,,,
Excessive use of furosemide can cause alkalosis. Furosemide can increase blood glucose levels and increase glucose levels in the urine.,Furosemide,,Alkalosis,,,
Keep furosemide away from light. Do not use after the expiration date. Keep all medicines out of the reach of children.,Furosemide,,,,,
Furosemide is only available on prescription from a registered physician.,Furosemide,,,,,Registered physician
Tenofovir is an antiviral medication used to treat HIV and hepatitis B infections.,Tenofovir,,"HIV, Hepatitis B",,Antiviral,
The drug tenofovir belongs to a class of drugs called nucleotide analogue reverse transcriptase inhibitors (NRTIs).,Tenofovir,,,,Nucleotide analog reverse transcriptase inhibitors,
"Tenofovir is available in tablet and oral solution form. The dosage and method of administration depend on the patient's age, weight, and severity of the disease.",Tenofovir,,,,,
"Some common side effects of tenofovir are nausea, vomiting, diarrhea, stomach pain, headache, rash or itching, depression, difficulty falling or staying asleep, weight loss, gas, heartburn, or indigestion, back pain.",Tenofovir,Stomach,"Diarrhea, headache, depression, back pain",,,
"If you miss a dose of tenofovir, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Tenofovir,,,,,
"Taking too much tenofovir can cause serious side effects such as kidney problems, liver problems, lactic acidosis, and decreased bone density.",Tenofovir,"Kidney, liver",,,,
"Store tenofovir in a cool, dry place, away from light and moisture.",Tenofovir,,,,,
Tenofovir is a nucleotide reverse transcriptase inhibitor (NRTI) that works by preventing the reproduction of HIV and hepatitis B viruses. It attaches to the DNA of the viruses and disrupts their replication process.,Tenofovir,,"HIV, Hepatitis B",,NRTIs,
"Gentamicin is an aminoglycoside antibiotic used to treat various bacterial infections, such as urinary tract infections, respiratory infections, skin infections, meningitis, etc.",Gentamicin," Respiratory system, skin, brain","Urinary tract infections, respiratory infections, skin infections, meningitis",,Aminoglycosides,
"Gentamicin is available in the form of injections, creams, and ointments. The dosage and method of application depend on the type and severity of the infection.",Gentamicin,,,,,
Gentamicin belongs to a group of drugs called aminoglycoside antibiotics.,,,,,Aminoglycosides,"Antibiotics, medicines"
Gentamicin helps treat a range of bacterial infections.,Gentamicin,,,,,
"Some common side effects of gentamicin are feeling irritable, loss of appetite, upset stomach, and imbalance.",Gentamicin,"Kidneys, ears",,,,
"If your doctor prescribes the use of gentamicin, follow his instructions carefully.",Gentamicin,,,,,Doctor
"Store gentamicin in a cool, dry place, away from light and moisture.",Gentamicin,,,,,
"Gentamicin is an aminoglycoside antibiotic that works by inhibiting bacterial protein synthesis. It is primarily used to treat infections caused by Gram-negative bacteria, but is also effective against some Gram-positive bacteria.",Gentamicin,,,,Aminoglycosides,
"Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) used to reduce pain, inflammation, and fever.",Ibuprofen,,"Pain, inflammation, fever",Prostaglandins,Non-steroidal anti-inflammatory drugs,
"Ibuprofen has high anti-inflammatory, antipyretic, and analgesic efficacy.","Ibuprofen, ibuprofen",,"Fever, pain, inflammation, fever",,,
"Ibuprofen is a potent inhibitor of the cyclooxygenase enzyme, so it significantly reduces the synthesis of prostaglandins.","Ibuprofen, ibuprofen",,,Prostaglandin,,
"Ibuprofen inhibits the synthesis of compounds produced by lipoxygenase. Therefore, ibuprofen quickly relieves pain and stiffness, reduces swelling, and improves the mobility of various joints in arthritis patients.","Ibuprofen, ibuprofen",,,,,
The dosage and method of administration of ibuprofen depend on the patient's age and the severity of the disease.,Ibuprofen,,,,,Dosage
"Ibuprofen is indicated for the following symptoms: rheumatoid arthritis, osteoarthritis, gouty arthritis, juvenile polyarthritis, ankylosing spondylitis, synovitis, back pain, dysmenorrhea, fever, migraine, soft tissue injuries, and inflammation and pain of teeth and muscles.","Ibuprofen, ibuprofen",Teeth,"Rheumatoid arthritis, osteoarthritis, gouty arthritis, juvenile polyarthritis, ankylosing spondylitis, synovitis, back pain, dysmenorrhea, fever, migraine, soft tissue injuries and inflammation and pain of teeth and muscles",,,
" Some common side effects of ibuprofen include stomach upset, vomiting, heartburn, and nausea.",Ibuprofen,Stomach,,,,
"If you miss a dose of ibuprofen, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Ibuprofen,,,,,
The possibility of adverse effects on the developing fetus cannot be completely ruled out. Ibuprofen should not be given during pregnancy and breastfeeding unless the benefits to the mother outweigh the risks.,Ibuprofen,,,,,
"Keep all ibuprofen medicines out of the reach of children. Store in a cool, clean place, away from light.",Ibuprofen,,,,,
"Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) that reduces pain and inflammation by reducing the production of a chemical called prostaglandin. It is used to relieve headaches, toothaches, muscle aches, menstrual cramps, and arthritis pain.",Ibuprofen,,"Headache, toothache, muscle pain, menstrual pain, arthritis",Prostaglandins,Non-steroidal anti-inflammatory drugs,
"Chlorpheniramine is an antihistamine used to reduce allergy symptoms such as sneezing, itching, watery eyes, and runny nose.",Chlorpheniramine,,Allergy,Histamine,Antihistamine,
Chlorpheniramine maleate is an alkyl amine antihistamine.,Chlorpheniramine maleate,,,,Alkyl amine antihistamine,
"Chlorpheniramine is available in tablet, capsule, and syrup forms. The dosage and method of administration depend on the patient's age and the severity of the allergy.",Chlorpheniramine,,,,,
"Chlorpheniramine may interact with other drugs such as calcium chloride, kanamycin sulfate, noradrenaline acid tartrate, pentobarbital sodium, and meglumine adipiodan.",Chlorpheniramine,,,,,
"Some common side effects of chlorpheniramine are drowsiness, muscle weakness, and digestive problems.",Chlorpheniramine,Digestive system,,,,
"If you miss a dose of chlorpheniramine, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Chlorpheniramine,,,,,
"The use of chlorpheniramine should be avoided during pregnancy and breastfeeding, especially in the first trimester.",Chlorpheniramine,,,,,
It should not be used in people who are hypersensitive to chlorpheniramine and in newborns.,Chlorpheniramine,,,,,
"Overdose of chlorpheniramine may cause CNS depression, insomnia, hallucinations, tremors, convulsions, ringing in the ears, blurred vision, hypotension, agitation, and atropine-like symptoms (dry mouth and tongue, dilated pupils, feeling excessively hot), etc.",Chlorpheniramine,,,,,
Store chlorpheniramine in a cool (below 25°C) and dry place away from light. Keep out of the reach of children.,Chlorpheniramine,,,,,
"Chlorpheniramine is an antihistamine that works by blocking the action of histamine in the body. Histamine is a chemical that causes allergy symptoms such as sneezing, itching, watery eyes, and runny nose. Chlorpheniramine helps reduce these symptoms.",Chlorpheniramine,,Allergy,Histamine,Antihistamine,
Chlorpheniramine should be used with caution in patients with glaucoma and prostatic hypertrophy. Caution should be exercised when driving or operating machinery during treatment with chlorpheniramine.,Chlorpheniramine,,"Glaucoma, prostatic hypertrophy",,,
Gabapentin is an anticonvulsant medication used to treat epilepsy and nerve pain.,Gabapentin,"Brain, nerves","Epilepsy, nerve pain",,Anticonvulsant,
"Gabapentin is available in tablet, capsule, and oral solution forms. The dosage and method of administration depend on the patient's age, weight, and severity of the disease.",Gabapentin,,,,,
Gabapentin belongs to a class of drugs called anticonvulsants. It was first approved for use in the United States in 1993 and has since become a widely prescribed medication for a variety of conditions.,Gabapentin,,,,Anticonvulsant,
"Some common side effects of gabapentin are drowsiness, flushing, difficulty walking, dizziness.",Gabapentin,,,,,
"If you miss a dose of Gabapentin, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Gabapentin,,,,,
"Overdosing on gabapentin can cause serious side effects such as restlessness, worsening depression, uncontrolled back-and-forth or rolling eye movements, allergic reactions, signs and symptoms of toxicity, such as yellowing of the skin and whites of the eyes, vomiting, dark urine, light-colored stools, and unusual bleeding or bruising.",Gabapentin,"Liver, eyes",Allergy,,,
"Gabapentin has a significant impact in the management of various neurological conditions, from epilepsy to neuropathic pain.",Gabapentin,,,,,
"Store gabapentin in a cool, dry place, away from light and moisture.",Gabapentin,,,,,
"Gabapentin is an anticonvulsant medication that works on the brain chemicals that cause seizures. It is also effective in reducing nerve pain, especially postherpetic neuralgia (nerve pain caused by shingles).",Gabapentin,"Brain, nerves","Epilepsy, postherpetic neuralgia",,Anticonvulsant,
"Diclofenac is a non-steroidal anti-inflammatory drug (NSAID) used to reduce pain, inflammation, and fever.",Diclofenac,,"Pain, inflammation, fever",,Non-steroidal anti-inflammatory drugs,
"The dosage and method of administration of diclofenac depend on the patient's age, weight, and severity of the disease.",Diclofenac,,,,,
"Some common side effects of diclofenac are sweating, itching, constipation, drowsiness, swelling of the feet and hands, nausea, vomiting, stomach pain, headache, high blood pressure.",Diclofenac,,"High blood pressure, headache, constipation",,,
"If you miss a dose of Diclofenac, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Diclofenac,,,,,
Diclofenac capsules or tablets take 20 to 30 minutes to work. Suppositories take a few hours to show results.,Diclofenac,,,,,"Suppositories, capsule or tablet"
Taking an overdose of diclofenac can cause serious side effects and poisoning.,Diclofenac,,,,,
Diclofenac All medicines should be stored at room temperature and away from direct heat and light to prevent them from spoiling. Do not store medicines in the refrigerator. Never throw these medicines into the drainage system or flush them down the washroom.,Diclofenac,,,,,
"Diclofenac is a non-steroidal anti-inflammatory drug (NSAID) that reduces pain and inflammation by reducing the production of a chemical called prostaglandin. It is used to relieve headaches, toothaches, muscle pain, menstrual cramps, and arthritis pain.",Diclofenac,,"Headache, toothache, muscle pain, menstrual pain, arthritis",Prostaglandins,Non-steroidal anti-inflammatory drugs,
Diclofenac is one of the most popular medications for relieving arthritis pain. Diclofenac is safe and effective in limited doses.,Diclofenac,,,,,
Clozapine is an atypical antipsychotic medication used to treat schizophrenia and other mental disorders.,Clozapine,Brain,Schizophrenia,"Dopamine, serotonin",Atypical antipsychotic,
Clozapine is a new class of antipsychotic medication. It differs from other antipsychotics in that it binds to dopamine-sensitive receptors and has different effects on various dopamine-mediated functions.,Clozapine,,,Dopamine,,
"Clozapine is available in tablet form. It is usually taken once or twice a day. The dosage and method of administration depend on the patient's age, weight, and severity of the disease.",Clozapine,,,,,
Take clozapine medicine as per the advice of a registered doctor.,,,,,,"Medicine, Registered physician"
"Some common side effects of clozapine are constipation, dizziness, drowsiness, headache, drooling, nausea, unusual weight gain, abdominal discomfort or heartburn, and dry mouth.",Clozapine,,,,,
Clozapine medication should not be stopped suddenly. It should be stopped gradually over 1-2 weeks.,,,,,,Medicine
"If you miss a dose of clozapine, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Clozapine,,,,,
"Clozapine overdose can also cause dizziness, delirium, and coma, tachycardia, hypotension, respiratory depression or failure, hypersalivation, aspiration pneumonia, and cardiac arrhythmias. Overdose is considered to be an overdose if taken in excess of 2500 grams.",Clozapine,,,,,
Clozapine should not be stored above 30°C. Keep away from light and out of the reach of children.,Clozapine,,,,,
Clozapine is an atypical antipsychotic medication that acts on dopamine and serotonin receptors in the brain. It is effective in treating both positive and negative symptoms of schizophrenia. It produces fewer extrapyramidal side effects (EPS) than other antipsychotic medications.,Clozapine,Brain,Schizophrenia,"Dopamine, serotonin",Atypical antipsychotic,
Lantus (insulin aspartglargine) is a long-acting insulin aspart analog used to control type 1 and type 2 diabetes. It works by lowering blood sugar levels.,Lantus,,Diabetes,Insulin,Insulin aspart analog,
"Lantus is available as an injection. It is usually injected under the skin once a day. The dosage and method of administration depend on the patient's age, weight, and blood sugar level.",Lantus,,,,,
"Some common side effects of Lantus are pain, redness, or swelling at the injection site, weight gain, and low blood sugar levels (hypoglycemia).",Lantus,,,,,
"If you miss a dose of Lantus, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Lantus,,,,,
Taking an overdose of Lantus can cause serious side effects such as hypoglycemia (too low blood sugar levels) and allergic reactions.,Lantus,,,,,
"Store Lantus in a cool, dry place, away from light and moisture. Read the package leaflet before use.",Lantus,,,,,
Lantus is a long-acting insulin aspart analog used to control type 1 and type 2 diabetes. It works by controlling blood sugar levels over a 24-hour period. It mimics the release of insulin aspart from the pancreas and helps cells take up glucose.,Lantus,Pancreas,Diabetes,Insulin,Insulin aspart analog,
"Metformin is indicated for the treatment of type 2 diabetes mellitus, especially in patients who are overweight and whose blood glucose levels are not adequately controlled by diet and exercise alone.",Metformin hydrochloride,,Type 2 diabetes mellitus,,,
"Metformin hydrochloride is a biguanide class drug used to control type 2 diabetes. It lowers blood sugar levels by reducing glucose production in the liver, reducing glucose absorption from the intestines, and increasing glucose utilization in cells.",Metformin hydrochloride,Liver,Type 2 diabetes,,Biguanide,
"Metformin hydrochloride is available in tablet form. It is usually taken once or twice a day with food. The dosage and method of administration depend on the patient's age, weight, and blood sugar levels.",Metformin hydrochloride,,,,,
Take metformin hydrochloride medicine as per the advice of a registered doctor.,,,,,,"Medicine, Registered physician"
"Some common side effects of metformin hydrochloride are nausea, vomiting, stomach pain, diarrhea, and loss of appetite.",Metformin hydrochloride,Stomach,,,,
"If you miss a dose of metformin hydrochloride, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Metformin hydrochloride,,,,,
Taking too much metformin hydrochloride can cause serious side effects such as lactic acidosis (accumulation of lactic acid in the blood).,Metformin hydrochloride,,,,,
"Store metformin hydrochloride in a cool, dry place, away from light and moisture.",Metformin hydrochloride,,,,,
Metformin hydrochloride is a biguanide class drug used to control type 2 diabetes. It lowers blood sugar levels by increasing the effectiveness of the hormone insulin and decreasing glucose production in the liver.,Metformin hydrochloride,Liver,Type 2 diabetes,Insulin,Biguanide,
" Coralcal-DX is used for the prevention and treatment of osteoporosis, osteomalacia, tetany, hypoparathyroidism, and osteogenesis imperfecta.",CoralCal-DX,,"Osteoporosis, osteomalacia, tetany, hypo-parathyroidism, osteogenesis",,,
CoralCal-DX Tablets contain: Calcium Carbonate USP 1500 mg (from coral source) 600 mg Elemental Calcium and Vitamin D USP 400 IU.,CoralCal-DX,,,,,Tablet
Coralcal-DX is taken as one tablet 1-2 times a day with plenty of water or as directed by a physician. Absorption is better when taken on a full stomach.,CoralCal-DX,,,,,Doctor
"Hypersensitivity to Coralcal-DX, hypocalcemia due to vitamin D overdose, hyperparathyroidism, bone metastasis, severe urinary retention, severe hypercalciuria, renal calculi, etc.",CoralCal-DX,,,,,
"Side effects of Coralcal-DX may include flatulence, heartburn, diarrhea, or constipation in rare cases. Long-term use may result in hypercalcemia.",CoralCal-DX,,"Hypercalcemia, flatulence, heartburn, diarrhea or constipation",,,
Store Coralcal-DX below 30°C. Keep away from light and moisture. Keep out of reach of children.,,,,,,
Calcium tablets are used to replenish calcium deficiency in the body. Calcium is important for healthy bones and teeth.,Calcium tablets,"Bones, teeth",Calcium deficiency,,,
" Calcium tablets are available in different strengths. The dosage and method of administration depend on the patient's age, weight, and severity of calcium deficiency.",Calcium tablets,,,,,
"Some common side effects of calcium tablets are nausea, vomiting, stomach pain, and constipation.",Calcium tablets,,,,,
"If you miss a dose of calcium tablets, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Calcium tablets,,,,,
"Store calcium tablets in a cool, dry place, away from light and moisture.",Calcium tablets,,,,,
"Calcium tablets are used to replenish calcium deficiency in the body. Calcium is important for the health of bones and teeth, and also plays an important role in muscle contraction, nerve transmission, and blood clotting.",Calcium tablets,,Calcium deficiency,,,
"Vitamin B complex is a nutritional supplement that helps to replenish B vitamins in the body. It is a mixture of various B vitamins, such as -- thiamine (B1), riboflavin (B2), niacin (B3), pantothenic acid (B5), pyridoxine (B6), biotin (B7), folate (B9) and cobalamin (B12).",Vitamin B complex,,,,,
"Vitamin B complex is available in tablet, capsule and injection form. The dosage and method of administration depend on the patient's age, weight and severity of the B vitamin deficiency.",Vitamin B complex,,,,,
"Some common side effects of vitamin B complex are nausea, skin conditions such as flushing or bruising, high blood sugar levels, sensitivity to light due to nerve damage and blurred vision, increased urination, excessive thirst, diarrhea, and stomach pain are examples.",Vitamin B complex,Stomach,"Diarrhea, abdominal pain",,,
"If you miss a dose of Vitamin B Complex, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Vitamin B complex,,,,,
"Taking too much vitamin B complex can cause serious side effects, such as liver damage.",Vitamin B complex,"Nervous system, liver",B vitamin deficiency,,,
Always consult a doctor for the correct dosage prescription of Vitamin B Complex.,Vitamin B complex,,,,,
"Store vitamin B complex in a cool, dry place, away from light and moisture.",Vitamin B complex,,,,,
"Vitamin B complex is used to replenish B vitamins in the body. B vitamins play an important role in various functions of the body, such as -- energy production, blood cell production, nervous system health, DNA synthesis, and cell division.",Vitamin B complex,,,,,
"Zinc tablets are used to replenish zinc deficiency in the body. Zinc is important for boosting immunity, healing wounds, and physical growth and development.",Zinc tablets,,Zinc deficiency,,,
" Zinc tablets are available in different strengths. The dosage and method of administration depend on the patient's age, weight, and severity of zinc deficiency.",Zinc tablets,,,,,
Zinc tablets are most effective when taken 1 hour before or 2 hours after meals. It can be taken with food if you have digestive problems.,Zinc tablets,Digestive system,,,,
Take zinc tablets as prescribed by a registered physician.,Zinc tablets,,,,,Registered physician
"Some common side effects of zinc tablets include nausea, vomiting, diarrhea, digestive problems, heartburn, and stomach inflammation.",Zinc tablets,Stomach,"Diarrhea, stomach inflammation",,,
"Taking tetracycline and zinc together may reduce the absorption of both. Similarly, taking zinc and quinolone drugs together may reduce the absorption of both. Taking penicillamine and zinc together may reduce the absorption of zinc."," Zinc tablets, tetracycline",,,,,
"If you miss a dose of Zinc Tablet, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Zinc tablets,,,,,
"Taking excessive doses of zinc tablets can cause zinc accumulation in the body in cases of acute renal failure; in that case, the dosage may need to be adjusted.",Zinc tablets,,,,,
Store zinc tablets in a dry place away from light and heat. Keep out of the reach of children.,Zinc tablets,,,,,
"Zinc tablets are used to replenish zinc deficiency in the body. Zinc is an essential mineral that plays an important role in various functions of the body, such as -- boosting immunity, wound healing, physical growth and development, DNA synthesis, and cell division.",Zinc tablets,,Zinc deficiency,,,
Artemether is an antimalarial drug used to treat malaria. It is a derivative of artemisinin.,Artemether,,Malaria,,Antimalarial,
"Artemether is available in tablet form. It is usually given in combination with other antimalarial drugs. The dosage and route of administration depend on the patient's age, weight, and severity of the disease.",Artemether,,,,,
Artemether is not indicated in the first 3 months of pregnancy.,,,,,,
Artemether and lumefantrine are well tolerated and side effects are generally mild to moderate.," Artemether, lumefantrine",,,,,
Artemether should not be used in breastfeeding mothers. Breastfeeding should only be done within 28 days of taking the medicine if the benefits outweigh the risks.,,,,,,
Take artemether medicine as advised by a registered doctor.,,,,,,Registered physician
"If you miss a dose of Artemether, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Artemether,,,,,
Artemether and lumefantrine are indicated for the treatment of malaria on an emergency basis in cases of Plasmodium falciparum malaria or various types of mixed malaria where Plasmodium falciparum is also responsible.,"Artemether, lumefantrine",,Malaria,,,
"Store Artemether away from light and moisture, below 30 degrees C. Keep out of the reach of children.",Artemether,,,,,
"Artemether is an antimalarial drug that works by inhibiting the growth of the malaria parasite. It is particularly effective in treating Plasmodium falciparum malaria, a severe form of malaria. It is usually given in combination with other antimalarial drugs to increase the effectiveness of the treatment and reduce the risk of developing resistance.",Artemether,,Malaria,,Antimalarial,
"Ciprofloxacin is a quinolone class antibiotic used to treat various bacterial infections, such as urinary tract infections, respiratory infections, skin infections, gonorrhea, etc.",Ciprofloxacin," Respiratory system, skin","Urinary tract infections, respiratory infections, skin infections, gonorrhea",,Quinolone,
"After oral administration, ciprofloxacin is present in antibacterial concentrations in serum, tissues, and urine, therefore ciprofloxacin is indicated for the treatment of a wide range of infections caused by susceptible microorganisms, such as urinary tract and respiratory tract infections, gonorrhea, septicemia, etc.",Ciprofloxacin,,"Urinary and respiratory tract infections, gonorrhea, septicemia",,,
"Ciprofloxacin is available in the form of tablets, capsules, injections and oral suspensions. The dosage and method of administration depend on the type and severity of the infection. Generally, adults are prescribed 250 to 750 mg tablets every 12 hours.",Ciprofloxacin,,,,,
Take Ciprofloxacin as directed by a registered physician.,Ciprofloxacin,,,,,"Registered physician, medicine"
Ciprofloxacin is a broad-spectrum antibiotic.,Ciprofloxacin,,,,,
"Some common side effects of ciprofloxacin are nausea, diarrhea, vomiting, digestive disorders, abdominal pain. Central nervous system disorders such as headache, drowsiness, confusion, seizures and risk of retinal detachment. Hypersensitivity such as skin rash (rarely Stevens-Johnson syndrome and toxic epidermal necrolysis), pruritus and possible systemic reactions.",Ciprofloxacin,"Stomach, nervous system","Diarrhea, headache, lower abdominal pain",,,
"Magnesium/aluminum antacids, sucralfate, or any medication containing calcium, iron, or zinc should not be taken with ciprofloxacin.",,,,,,
"If you miss a dose of Ciprofloxacin, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Ciprofloxacin,,,,,
"Other rare side effects of ciprofloxacin include joint pain, transient elevations in liver enzymes, bilirubin, urea, or creatinine. Risk of hypoglycemia and adverse effects on mental health. May increase the risk of tendinitis and tendon rupture.",Ciprofloxacin,,,,,
"Ciprofloxacin can be taken before or after meals, with plenty of fluids.",Ciprofloxacin,,,,,
"Store Ciprofloxacin away from light and moisture, below 30°C. Keep out of the reach of children.",Ciprofloxacin,,,,,
"Ciprofloxacin overdose can cause convulsions, hallucinations, abdominal discomfort, renal and hepatic dysfunction, as well as crystalluria, hematuria, and reversible kidney toxicity.",Ciprofloxacin,"Kidney, liver","Convulsions, hallucinations, abdominal discomfort, renal and hepatic dysfunction, crystalluria, hematuria and reversible renal toxicity",,,
"Ciprofloxacin is a quinolone antibiotic that interferes with the DNA replication process of bacteria, preventing them from growing and multiplying. It is used to treat urinary tract infections, respiratory infections, skin infections, gonorrhea, prostatitis, and other bacterial infections.",Ciprofloxacin,"Respiratory system, skin","Urinary tract infections, respiratory infections, skin infections, gonorrhea, prostatitis",,Quinolone,
Isoniazid is an antitubercular medication used to treat tuberculosis (TB).,Isoniazid,Lungs,Tuberculosis (TB),,Antitubercular,
Isoniazid is an antibacterial drug that kills the organisms that cause tuberculosis.,,,,,Antibacterial,Drug
"The dosage and method of administration of isoniazid depend on the patient's age, weight, and severity of the disease.",Isoniazid,,,,,
"Tell your doctor if you have diabetes, a history of alcohol or other substance abuse, kidney problems, nerve problems, an unhealthy injectable drug habit, a history of HIV, or are over 35 years old, have recently given birth, or have previously taken isoniazid.",Isoniazid,Kidney," Diabetes, kidney problems, nerve problems, HIV",,,
"Some common side effects of isoniazid are nausea, vomiting, loss of appetite, stomach pain, liver problems, and peripheral neuropathy (tingling in the hands and feet).",Isoniazid,"Liver, stomach",,,,
Isoniazid should be taken 1 or 2 hours before meals.,Isoniazid,,,,,
Isoniazid 300 mg tablet may be unsafe to use during pregnancy.,Isoniazid,,,,,
"If you miss a dose of isoniazid, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Isoniazid,,,,,
"Store isoniazid in a cool, dry place, away from light and moisture.",Isoniazid,,,,,
Isoniazid is an antitubercular drug used to treat tuberculosis (TB). It works by preventing the growth of Mycobacterium tuberculosis bacteria. It is usually given in combination with other antituberculosis drugs because it can lead to resistance when used alone.,Isoniazid,,Tuberculosis (TB),,Antitubercular,
"Linezolid is an oxazolidinone antibiotic used to treat various infections caused by Gram-positive bacteria, such as pneumonia, skin and skin structure infections, and vancomycin-resistant enterococcus (VRE) infections.",Linezolid,"Lungs, skin","Pneumonia, skin and skin structure infections, vancomycin-resistant enterococcus infections",,Oxazolidinone,
"Linezolid is available in tablet, injection and oral suspension forms. The dosage and method of administration depend on the type and severity of the infection. Generally, adults are prescribed 600 mg tablets every 12 hours.",Linezolid,,,,,
Linezolid tablets should be taken orally with or without food.,Linezolid,,,,,Tablet
"Some common side effects of linezolid are diarrhea, headache, and nausea. Other side effects may include oral moniliasis, vaginal moniliasis, hypertension, indigestion, localized abdominal pain, pruritus, or tongue discoloration.",Linezolid,"Stomach, liver","Diarrhea, headache, oral moniliasis, vaginal moniliasis, high blood pressure, indigestion, localized abdominal pain, pruritus or discoloration of the tongue",,,Side effects
Take linezolid as prescribed by a registered physician.,Linezolid,,,,,Registered physician
"If you miss a dose of linezolid, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Linezolid,,,,,
There are no known cases of overdose with linezolid. Symptomatic and supportive care may be provided along with glomerular filtration. Approximately 30% of the linezolid dose can be removed from the body by hemodialysis in 3 hours.,Linezolid,,,,," Symptomatic, supportive care, hemodialysis"
"Linezolid should be stored at room temperature (15°C-30°C), away from light and moisture. All medicines should be kept out of the reach of children.",Linezolid,,,,,
Linezolid is an oxazolidinone antibiotic used to treat a variety of infections caused by Gram-positive bacteria. It works by inhibiting bacterial protein synthesis. It is mainly used in severe infections where other antibiotics are not effective.,Linezolid,,"Pneumonia, skin and skin structure infections, vancomycin-resistant enterococcus infections",,Oxazolidinone,
Metronidazole is an antibiotic and antiprotozoal medication used to treat infections caused by bacteria and parasites.,Metronidazole,,Bacterial and parasitic infections,,"Antibiotics, antiprotozoals",
"Metronidazole is an imidazole antibacterial drug and is used in medicine as an antiprotozoan. The 5-nitro group of metronidazole is degraded by anaerobic bacteria, and experiments show that this degraded metronidazole acts on the DNA of anaerobic bacteria, giving it bactericidal activity.",Metronidazole,,,,Imidazole,
"Some common side effects of metronidazole are nausea, vomiting, drowsiness, diarrhea, stomach pain, headache, and metallic taste.",Metronidazole,Stomach,,,,
There have been reports that psychotic reactions may occur when metronidazole and disulfiram are used together.,"Metronidazole, disulfiram",,,,,
Metronidazole Take the medicine as prescribed by a registered doctor.,Metronidazole,,,,,Registered physician
"If you miss a dose of metronidazole, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Metronidazole,,,,,
"Patients should be advised to avoid drinking alcoholic beverages during and for at least 1 day after treatment with metronidazole, as it may cause a disulfiram reaction (Antabuse effect - excessive blood supply to the skin, vomiting, rapid heartbeat).",Metronidazole,,,,,
Caution should be exercised when using metronidazole in breastfeeding mothers.,Metronidazole,,,,,
"Overdose of metronidazole can cause serious side effects such as blurred vision, fainting, vomiting, ataxia, mild confusion or hallucinations, etc.",Metronidazole,,,,,
"There is no antidote for metronidazole poisoning. In case of overdose, symptomatic and supportive treatment should be given.",Metronidazole,,,,,
"If for any reason metronidazole treatment is required for longer than the prescribed period, the patient's blood tests, especially the white blood cell count, should be performed regularly and the patient should be monitored for adverse reactions, such as peripheral and central neuropathy (paresthesia, ataxia, tremor, convulsions).",Metronidazole,,"Paresthesia, ataxia, tremor, convulsions",,,Blood test
Metronidazole may increase the level of lithium in the blood plasma.,Metronidazole,,,,,
Patients should be warned that metronidazole may darken urine.,Metronidazole,,,,,
Store below 30°C. Keep away from light. Keep out of reach of children. Do not use after expiration date.,Metronidazole,,,,,Expired
"Metronidazole is an antibiotic and antiprotozoal medication used to treat trichomoniasis, bacterial vaginosis, dysentery, and giardiasis. It also helps control gut bacteria, which play an important role in the digestive process, in some cases.",Metronidazole,,"Trichomoniasis, bacterial vaginosis, dysentery, giardiasis",,"Antibiotics, antiprotozoals",
Pyrazinamide is an antitubercular medication used to treat tuberculosis (TB).,Pyrazinamide,Lungs,Tuberculosis (TB),,Antitubercular,
"Pyrazinamide is available in tablet form. It is usually given in combination with other anti-tuberculosis drugs. The dosage and route of administration depend on the patient's age, weight, and severity of the disease.",Pyrazinamide,,,,,
